,city,cloudiness,country,date,humidity,lat,lon,maxtemp,windspeed
0,hermanus,0,ZA,1575581765,66,-34.42,19.24,72.0,1.99
1,torbay,75,CA,1575581765,86,47.66,-52.73,37.4,18.34
2,luderitz,58,NA,1575581766,72,-26.65,15.16,68.0,3.36
3,port alfred,0,ZA,1575581766,82,-33.59,26.89,64.99,1.01
4,manoel urbano,100,BR,1575581766,85,-8.84,-69.26,79.23,0.92
5,rikitea,51,PF,1575581766,82,-23.12,-134.97,77.9,10.47
6,hobart,40,AU,1575581603,58,-42.88,147.33,54.0,17.22
7,bowen,37,AU,1575581767,83,-20.01,148.25,84.0,4.7
8,bida,90,NG,1575581767,26,9.08,6.02,83.55,3.22
9,mataura,100,NZ,1575581767,57,-46.19,168.86,62.58,7.43
10,tiksi,100,RU,1575581767,100,71.64,128.87,-15.57,2.26
11,maningrida,0,AU,1575581767,83,-12.05,134.23,78.17,2.26
12,aklavik,90,CA,1575581768,65,68.22,-135.01,3.2,11.41
13,santa fe,0,AR,1575581768,24,-31.62,-60.7,81.95,6.24
14,san patricio,0,PY,1575581768,43,-26.98,-56.83,78.3,7.23
15,lethem,1,GY,1575581768,42,3.38,-59.8,92.53,11.32
16,mar del plata,46,AR,1575581768,30,-46.43,-67.52,71.8,28.57
17,qaanaaq,100,GL,1575581768,55,77.48,-69.36,1.54,8.81
18,calama,66,CL,1575581769,8,-22.46,-68.93,75.2,25.28
19,narasimharajapura,59,IN,1575581769,97,13.61,75.51,62.69,3.13
20,kapaa,75,US,1575581769,74,22.08,-159.32,80.6,13.87
21,thompson,40,CA,1575581609,69,55.74,-97.86,-7.6,6.93
22,lulea,100,SE,1575581747,86,65.58,22.15,33.8,5.82
23,tuktoyaktuk,75,CA,1575581770,84,69.44,-133.03,-0.4,23.04
24,flinders,40,AU,1575581239,77,-34.58,150.85,70.0,1.12
25,north bend,40,US,1575581770,76,43.41,-124.22,55.4,3.36
26,atuona,31,PF,1575581770,78,-9.8,-139.03,79.43,19.15
27,norman wells,40,CA,1575581770,73,65.28,-126.83,-31.0,2.24
28,bredasdorp,0,ZA,1575581770,82,-34.53,20.04,66.99,3.36
29,linjiang,0,CN,1575581770,96,41.81,126.91,-19.35,3.2
30,fort nelson,90,CA,1575581771,84,58.81,-122.69,6.8,5.82
31,chuy,42,UY,1575581710,54,-33.69,-53.46,68.52,12.1
32,pontes e lacerda,100,BR,1575581771,65,-15.23,-59.33,84.06,9.57
33,victoria,75,BN,1575581771,83,5.28,115.24,80.6,3.36
34,anadyr,75,RU,1575581771,78,64.73,177.51,17.6,29.08
35,diyarb najm,0,EG,1575581772,77,30.75,31.44,66.2,6.93
36,avarua,0,CK,1575581772,65,-21.21,-159.78,82.4,12.75
37,dingle,100,PH,1575581772,91,11.0,122.67,73.42,4.65
38,hilo,90,US,1575581701,83,19.71,-155.08,73.4,5.82
39,bathsheba,40,BB,1575581772,74,13.22,-59.52,82.4,17.22
40,cherskiy,0,RU,1575581772,65,68.75,161.3,-1.34,8.28
41,mindelo,0,PT,1575581773,76,41.31,-8.72,53.01,1.12
42,koumac,100,NC,1575581773,59,-20.56,164.28,79.36,3.44
43,pathein,42,MM,1575581773,76,16.78,94.73,69.67,9.6
44,ushuaia,75,AR,1575581773,86,-54.81,-68.31,44.6,29.97
45,bundaberg,40,AU,1575581773,74,-24.87,152.35,84.0,9.17
46,sohag,15,EG,1575581773,51,26.55,31.7,60.8,9.17
47,cayenne,100,GF,1575581774,78,4.94,-52.33,82.4,6.93
48,araouane,68,ML,1575581774,25,18.9,-3.53,70.7,4.65
49,butaritari,100,KI,1575581774,70,3.07,172.79,83.95,9.42
50,faya,0,SA,1575581774,93,18.39,42.45,60.8,3.36
51,new norfolk,40,AU,1575581774,58,-42.78,147.06,54.0,17.22
